0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:08:42 +0530] "GET /Gym_Management/ HTTP/1.1" 200 5111
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:08:42 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:08:54 +0530] "POST /Gym_Management/logout HTTP/1.1" 200 5130
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:08:54 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:08:57 +0530] "POST /Gym_Management/login HTTP/1.1" 200 8367
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:08:57 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:09:00 +0530] "POST /Gym_Management/tdel HTTP/1.1" 200 9453
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:09:00 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:09:00 +0530] "GET /Gym_Management/inshtagram.jpg HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:09:00 +0530] "GET /Gym_Management/facebook.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:09:42 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8389
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:09:42 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:13:07 +0530] "GET /Gym_Management/ HTTP/1.1" 200 5111
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:13:07 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:13:11 +0530] "POST /Gym_Management/login HTTP/1.1" 200 8367
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:13:11 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:13:18 +0530] "POST /Gym_Management/tdel HTTP/1.1" 200 9461
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:13:18 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:13:18 +0530] "GET /Gym_Management/img/inshtagram.jpg HTTP/1.1" 200 67193
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:13:18 +0530] "GET /Gym_Management/img/facebook.jpg HTTP/1.1" 200 14505
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:15:30 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:15:30 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:15:31 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8516
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:15:31 +0530] "GET /Gym_Management/JS/chart.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [21/Mar/2024:14:15:33 +0530] "GET /Gym_Management/home HTTP/1.1" 200 8516
